          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   33.85   3  0.09   487.98  63 30.02 
   11.52  11  0.12   457.20  64 28.47 
    8.00   0  0.00   469.99  63 28.72 
    8.00   0  0.00   539.79  60 31.83 
    6.67   4  0.02   586.61  60 34.35 
   32.00   2  0.07   434.91  77 32.53 
   25.70   7  0.17   431.25  70 29.64 
    0.00   0  0.00   446.52  72 31.38 
    8.00   0  0.00   424.73  73 30.35 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    8.00   0  0.00   417.69  73 29.85 
    8.00   0  0.00   360.58  80 28.18 
   14.00   7  0.09   318.35  87 27.16 
   17.50   3  0.05   337.35  83 27.47 
    8.00   0  0.00   564.66  64 35.28 
   11.96  88  1.03   581.30  63 35.87 
   47.00   2  0.11   548.42  64 34.26 
    0.00   0  0.00   602.68  60 35.54 
    5.00   1  0.00   593.05  62 35.89 
    8.00   0  0.00   559.61  61 33.33 
   11.31  79  0.87   610.37  57 33.84 
   18.00   6  0.10   596.50  59 34.48 
    7.29   3  0.02   571.70  61 34.04 
    4.00   0  0.00   580.68  58 32.89 
   18.38 173  3.11   519.67  64 32.36 
   14.89  55  0.81   618.27  56 33.56 
    0.00   0  0.00   610.28  58 34.56 
    0.00   0  0.00   497.94  64 31.31 
    8.00   0  0.00   523.05  63 31.97 
    0.00   0  0.00   588.79  57 32.65 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   12.16  77  0.92   489.78  62 29.56 
    6.03   7  0.04   524.56  61 31.34 
   11.25   3  0.04   512.20  63 31.31 
    0.00   0  0.00   533.01  61 31.75 
    4.00   1  0.00   560.48  59 32.07 
   12.00   0  0.00   540.66  60 31.57 
   21.03   8  0.16   475.96  62 28.81 
   35.38   3  0.09   361.76  77 27.19 
    0.00   0  0.00   331.95  85 27.42 
    4.00   0  0.00   338.17  79 26.07 
    0.00   0  0.00   440.30  68 29.41 
    0.00   0  0.00   342.06  82 27.24 
    0.00   0  0.00   320.20  82 25.50 
    0.00   0  0.00   307.27  86 25.86 
    5.93   5  0.03   411.92  74 29.85 
   14.28  81  1.13   269.46 112 29.47 
    6.67   1  0.00   554.52  63 33.89 
    0.00   0  0.00   640.92  57 35.41 
    6.00   0  0.00   622.39  59 35.58 
   38.55   2  0.08   590.31  60 34.34 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    5.33   2  0.01   560.19  60 32.93 
   11.41   8  0.09   615.15  59 35.43 
    4.00   0  0.00   576.84  62 34.92 
   20.00   0  0.00   548.33  60 32.34 
   27.75   3  0.09   423.51  75 31.02 
   16.27 118  1.87   592.69  60 34.84 
    7.43   1  0.01   577.78  60 33.93 
   16.20  24  0.38   622.48  59 35.62 
    4.00   0  0.00   610.58  61 36.37 
    4.00   0  0.00   595.79  58 33.97 
    0.00   0  0.00   599.24  60 35.11 
   37.09   2  0.08   588.57  61 34.94 
   20.31  97  1.92   677.18  58 38.09 
   12.33   2  0.03   628.07  56 34.21 
    4.00   0  0.00   592.38  61 35.17 
    0.00   0  0.00   593.05  60 34.51 
    8.00   0  0.00   250.51 117 28.67 
   11.29   6  0.06   319.76  97 30.34 
   17.44  10  0.17   598.20  55 32.01 
    5.60   3  0.02   520.93  60 30.51 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   16.87  89  1.47   383.80  71 26.52 
    0.00   0  0.00   336.16  73 23.96 
    0.00   0  0.00   289.45  76 21.36 
    4.00   1  0.00   313.49  74 22.59 
    0.00   0  0.00   335.39  73 23.96 
    0.00   0  0.00   334.20  72 23.49 
    0.00   0  0.00   307.40  80 24.01 
    0.00   0  0.00   644.26  56 35.09 
    0.00   0  0.00   630.22  57 34.82 
    0.00   0  0.00   645.51  55 34.78 
    0.00   0  0.00   693.21  54 36.26 
    0.00   0  0.00   577.99  59 33.40 
    9.11  16  0.14   622.07  56 34.00 
    0.00   0  0.00   631.15  57 34.87 
    0.00   0  0.00   631.60  54 33.54 
   35.27   2  0.08   519.53  66 33.67 
    0.00   0  0.00   648.31  59 37.08 
   23.16  55  1.23   609.29  55 32.94 
    4.00   1  0.00   648.56  56 35.57 
    5.33   1  0.00   651.16  52 33.18 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    5.33   1  0.00   573.31  57 31.90 
   22.80   6  0.13   544.36  63 33.47 
    0.00   0  0.00   399.31  82 31.80 
    0.00   0  0.00   609.85  54 32.27 
   13.63  85  1.13   593.41  57 32.90 
    0.00   0  0.00   574.66  58 32.53 
    0.00   0  0.00   497.97  62 30.34 
    0.00   0  0.00   403.21  66 26.05 
    0.00   0  0.00   367.20  72 25.89 
    0.00   0  0.00   345.08  73 24.66 
    4.00   2  0.01   521.26  54 27.68 
    0.00   0  0.00   560.39  60 32.72 
    0.00   0  0.00   599.27  58 34.04 
    0.00   0  0.00   588.55  60 34.24 
    4.00   1  0.00   626.97  57 35.13 
    0.00   0  0.00   645.77  53 33.29 
    0.00   0  0.00   639.51  56 34.71 
    0.00   0  0.00   626.49  55 33.53 
    7.26   9  0.06   705.01  54 36.89 
    0.00   0  0.00   631.19  51 31.67 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
