Gledis-server -config=rocksdb.conf
 %CPU %MEM
180.7  9.9


2014/08/29 18:38:53
 %CPU %MEM
145.7  9.9


2014/08/29 18:39:03
 %CPU %MEM
178.1  9.6


2014/08/29 18:39:13
 %CPU %MEM
122.8  9.4


2014/08/29 18:39:23
 %CPU %MEM
168.7  9.6


2014/08/29 18:39:33
 %CPU %MEM
130.7  9.9


2014/08/29 18:39:43
 %CPU %MEM
130.9 10.2


2014/08/29 18:39:53
 %CPU %MEM
197.6  9.5


2014/08/29 18:40:03
 %CPU %MEM
119.7  9.6


2014/08/29 18:40:13
 %CPU %MEM
194.8  9.9


2014/08/29 18:40:23
 %CPU %MEM
197.2 10.0


2014/08/29 18:40:33
 %CPU %MEM
169.1 10.0


2014/08/29 18:40:43
 %CPU %MEM
156.4 10.0


2014/08/29 18:40:53
 %CPU %MEM
174.1 10.0


2014/08/29 18:41:03
 %CPU %MEM
 90.8 10.0


2014/08/29 18:41:13
 %CPU %MEM
181.6 10.0


2014/08/29 18:41:23
 %CPU %MEM
102.3 10.0


2014/08/29 18:41:33
 %CPU %MEM
148.9 10.0


2014/08/29 18:41:43
 %CPU %MEM
264.7  9.8


2014/08/29 18:41:53
 %CPU %MEM
184.7  9.6


2014/08/29 18:42:04
 %CPU %MEM
150.4  9.8


2014/08/29 18:42:14
 %CPU %MEM
224.4 10.1


2014/08/29 18:42:24
 %CPU %MEM
215.4 10.4


2014/08/29 18:42:34
 %CPU %MEM
199.7 10.4


2014/08/29 18:42:44
 %CPU %MEM
188.5 10.8


2014/08/29 18:42:54
 %CPU %MEM
187.5 10.8


2014/08/29 18:43:04
 %CPU %MEM
178.3 10.5


2014/08/29 18:43:14
 %CPU %MEM
 17.6 10.4


2014/08/29 18:43:24
 %CPU %MEM
199.0 10.3


2014/08/29 18:43:34
 %CPU %MEM
153.8 10.4


2014/08/29 18:43:45
 %CPU %MEM
198.2 10.6


2014/08/29 18:43:55
 %CPU %MEM
 27.1 10.4


2014/08/29 18:44:06
 %CPU %MEM
197.2  9.8


